==33294== NVPROF is profiling process 33294, command: ./butterfly.bin ../dataset/twitter/
==33294== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==33294== Profiling application: ./butterfly.bin ../dataset/twitter/
==33294== Profiling result:
==33294== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM2-32GB (0)"
    Kernel: butterflyCounting(__int64*, int*, int, int, __int64*, int*)
          1               pcie_total_data_transmitted                                      PCIe Total Data Transmitted     2682880     2682880     2682880
          1                  pcie_total_data_received                                         PCIe Total Data Received      111104      111104      111104
          1                inst_executed_global_loads                         Warp level instructions for global loads  9818685244  9818685244  9818685244
          1                 inst_executed_local_loads                          Warp level instructions for local loads           0           0           0
          1                inst_executed_shared_loads                         Warp level instructions for shared loads      706288      706288      706288
          1               inst_executed_surface_loads                        Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                        Warp level instructions for global stores  9754503160  9754503160  9754503160
          1                inst_executed_local_stores                         Warp level instructions for local stores           0           0           0
          1               inst_executed_shared_stores                        Warp level instructions for shared stores      353208      353208      353208
          1              inst_executed_surface_stores                       Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics             Warp level instructions for global atom and atom cas           0           0           0
          1           inst_executed_global_reductions                    Warp level instructions for global reductions     1733164     1733164     1733164
          1             inst_executed_surface_atomics            Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                   Warp level instructions for surface reductions           0           0           0
          1              inst_executed_shared_atomics             Warp level shared instructions for atom and atom CAS     1655501     1655501     1655501
          1                     inst_executed_tex_ops                              Warp level instructions for texture           0           0           0
          1                           dram_read_bytes                           Total bytes read from DRAM to L2 cache  1.2632e+12  1.2632e+12  1.2632e+12
          1                          dram_write_bytes                        Total bytes written from L2 cache to DRAM  1.2955e+12  1.2955e+12  1.2955e+12
          1                      global_load_requests         Total number of global load requests from Multiprocessor  9818685244  9818685244  9818685244
          1                       local_load_requests          Total number of local load requests from Multiprocessor           0           0           0
          1                     surface_load_requests        Total number of surface load requests from Multiprocessor           0           0           0
          1                     global_store_requests        Total number of global store requests from Multiprocessor  9754503160  9754503160  9754503160
          1                      local_store_requests         Total number of local store requests from Multiprocessor           0           0           0
          1                    surface_store_requests       Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests       Total number of global atomic requests from Multiprocessor           0           0           0
          1                 global_reduction_requests    Total number of global reduction requests from Multiprocessor     1733164     1733164     1733164
          1                   surface_atomic_requests      Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests   Total number of surface reduction requests from Multiprocessor           0           0           0
          1                      l2_global_load_bytes             Bytes read from L2 for misses in L1 for global loads  1.3456e+12  1.3456e+12  1.3456e+12
          1                       l2_local_load_bytes              Bytes read from L2 for misses in L1 for local loads           0           0           0
          1                     l2_surface_load_bytes            Bytes read from L2 for misses in L1 for surface loads           0           0           0
          1              l2_global_atomic_store_bytes                   Bytes written to L2 from L1 for global atomics           0           0           0
          1               l2_local_global_store_bytes         Bytes written to L2 from L1 for local and global stores.  1.5299e+12  1.5299e+12  1.5299e+12
          1                    l2_surface_store_bytes           Bytes read from L2 for misses in L1 for surface stores           0           0           0
          1                         sysmem_read_bytes                                         System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                        System Memory Write Bytes         160         160         160
          1                           l2_tex_hit_rate                                                L2 Cache Hit Rate      63.83%      63.83%      63.83%
          1                     texture_load_requests        Total number of texture Load requests from Multiprocessor           0           0           0
          1           tensor_precision_fu_utilization                       Tensor-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
==33294== Warning: One or more events or metrics overflowed. Rerun with "--print-gpu-trace" for detail.
